academy_id, academy_name, road_address, building, address, sido, sigungu, dong, zip_code, latitude, longitude
1, 안산초지쓰리제이엠학원, 경기 안산시 단원구 광덕1로 63, 메디프라자, 경기 안산시 단원구 초지동 729-2, 경기, 안산시 단원구, 초지동, 425854, 126.81672294643411, 37.308775701477764
2,(주)아이에스이영어원격학원, 경기 성남시 분당구 대왕판교로606번길 41, 프라임스퀘어, 경기 성남시 분당구 삼평동 652, 경기, 성남시 분당구, 삼평동, 463400, 127.1119310276203, 37.39648066747378
3,(주)아크로에듀학원, 경기 의정부시 평화로 307, , 경기 의정부시 호원동 435-3, 경기, 의정부시, 호원1동, 480856, 127.0470475327426, 37.719333554152
4,1%학원, 경기 구리시 장자대로86번길 14-7, 해웅빌딩, 경기 구리시 수택동 875-3, 경기, 구리시, 수택3동, 471030, 127.139528791998, 37.586816019456855
5,1%학원, 경기 양주시 삼숭로38번길 80, 양주자이프라자, 경기 양주시 삼숭동 685-1, 경기, 양주시, 양주2동, 482110, 127.10582782158583, 37.796072187705754
6,1%학원, 경기 용인시 수지구 성복2로 166, 명인빌딩, 경기 용인시 수지구 성복동 289-6, 경기, 용인시 수지구, 성복동, 448831, 127.06844776813658, 37.31780365031468
7,1.618학원, 경기 남양주시 진접읍 해밀예당3로 91, 아트프라자, 경기 남양주시 진접읍 금곡리 1076-3, 경기, 남양주시, , , 127.19711446974624, 37.71776183483434
8,100년대계선화학원, 경기 구리시 이문안로129번길 34, 탑학원, 경기 구리시 수택동 276-167, 경기, 구리시, 수택2동, 471813, 127.14600325768528, 37.59287006033611
9,11월의 아침학원, 경기 용인시 기흥구 동백7로 79, 두빈빌딩, 경기 용인시 기흥구 동백동 598-6, 경기, 용인시 기흥구, 동백동, 446911, 127.15997798595642, 37.281745959719565
10,11월의로렐학원, 경기 용인시 기흥구 강남로 3, 강남앤플러스, 경기 용인시 기흥구 구갈동 581-1, 경기, 용인시 기흥구, 구갈동, 446573, 127.12613149605508, 37.271050073949716
11,12월에웃는학원, 경기 안산시 단원구 광덕1로 63, 메디프라자, 경기 안산시 단원구 초지동 729-2, 경기, 안산시 단원구, 초지동, 425854, 126.81672294643411, 37.308775701477764
12,12월의영광수학학원, 경기 용인시 수지구 수지로113번길 15, 성동마을엘지빌리지2차아파트, 경기 용인시 수지구 성복동 90-1, 경기, 용인시 수지구, 성복동, 448981, 127.07541509013109, 37.31308880877667
