academy_id|region|academy_name|address|owner_name|phone_no|course_type|courses|tuition
1|안산| 안산초지쓰리제이엠학원|경기도 안산시 단원구 광덕1로 63 , 401호일부 (초지동)|주식회사쓰리제이엠||보습|영어특강|
2|성남|(주)아이에스이영어원격학원|경기도 성남시 분당구 대왕판교로606번길 41 , 1002호 (삼평동,프라임스퀘어)|(주)아이에스이컨설팅||보습|고등영어(고급),중등영어(중급),초등영어(초급)|16000
3|의정부|(주)아크로에듀학원|경기도 의정부시 평화로 307 2층,3층일부 (호원동)|(주)아크로에듀|031-873-1233|보습|고등수학(평일),고등수학주말(고1/문과),고등수학주말(이과),중등수학,초등수학|214000
4|구리남양주|1%학원|경기도 구리시 장자대로86번길 14-7 , 4층 일 (수택동,해웅빌딩)|박희영|031-566-4298|보습|고등부수학,고등부영어,중등부수학,중등부영어,초등부수학|260000
5|동두천양주|1%학원|경기도 양주시 삼숭로38번길 80 , 2236호, 2243호 (삼숭동, 양주자이프라자)|이윤아|070-8129-5569|보습|고등국어(1,2),고등국어(2),고등수학(1,2),고등수학(2,3),고등수학(3),고등한국사(고급),고등한국사(중급),고등한국사(초급),국어논술(고3),수학논술(고3),중등국어,중등수학,중등한국사(고급),중등한국사(중급),중등한국사(초급),초등국어,초등학국사(중급),초등한국사(고급),초등한국사(초급)|201000
6|용인|1%학원|경기도 용인시 수지구 성복2로 166 , 명인빌딩 205호 (성복동, 성복동 판매시설)|이문우||보습|고등(국어,사회,과학,논술),수학(고등),수학(중등)영(중등),수학(초등)영어(초등),영어(고등),중등(국어,사회,과학,논술)|292000
7|구리남양주|1.618학원|경기도 남양주시 진접읍 해밀예당3로 91 , 301호 (아트프라자)|박만순|031-575-1681|보습|고2수학,중3수학,중등1,2수학,중등과학,초등과학,초등수학|180000
8|구리남양주|100년대계선화학원|경기도 구리시 이문안로129번길 34 , 3층 일부 (수택동)|김상태|031-565-1318|보습|고등수학,고등종합,언어,외국어,중등수학,중등종합,초등수학,초등저학년 1,2 종합,초등종합|242000
9|용인|11월의 아침학원|경기도 용인시 기흥구 동백7로 79 , 두빈빌딩 6층 일부 (동백동)|홍소영||보습||
10|용인|11월의로렐학원|경기도 용인시 기흥구 강남로 3   강남앤플러스 309호310호(구갈동)|마정훈|031-281-6621|보습|수학(중등),수학(초등)|270000
11|안산|12월에웃는학원|경기도 안산시 단원구 광덕1로 63 , 304~305호 (초지동)|김현주||보습|초등부 수학|170000
12|용인|12월의영광수학학원|경기도 용인시 수지구 수지로113번길 15  성동마을엘지빌리지2차아파트 상가동 201호202호 (성복동)|임성희|031-266-0974|보습|수학(고등),수학(중등),수학(초등)|330000
13|용인|12월의영광학원|경기도 용인시 수지구 수지로113번길 12   연세프라자 2-3층 (성복동)|주식회사12월의영광|031-262-0950|보습|과학,과학(고등),국어,국어 영어,국어(고등),국어,영어(중등),수학,수학(고등),수학(중등),영어,영어(고등)|256000
14|구리남양주|1318영어학원|경기도 구리시 건원대로34번길 25 601 602 603호 (인창동)|이민화|031-514-7364|보습|고등부,중등1학년,중등2,3학년,초등영어|275000
15|고양|153가우스수학학원|경기도 고양시 덕양구 삼송로 94-12 , 하나타워 402호,403호 |김석환|02-381-1530|보습|고등수학,중등수학,중등전과목,초등수학,초등전과목(국,수,사,과)|232000
16|파주|153스터디학원|경기도 파주시 청석로 266 , 501호,502호 (동패동)|정은|031-943-3033|보습|고등과학,고등수학,고등영어,중등수학,중등영어,중등영어,중등과학,초등과학,초등수학,초등영어|220000
