academy_id|academy_name|address|phone_no|course_type|courses|tuition
1|11월의비상학원|인천광역시 서구 원창로 164 , 4층 (신현동)||보습|고등단과,중등단과,초등단과|267000
2|11월의비상학원|인천광역시 연수구 독배로 55 , 4층 (옥련동)||보습|국어(고),국어(중),국어(초),수학(고),수학(중A),수학(중B),수학(초),영어(고),영어(중),영어(초)|235000
3|11월의약속영어전문학원|인천광역시 서구 청라라임로 71 707호(연희동,진영메디피아)||보습|고등영어,중등영어,초등영어|300000
4|1326수학학원|인천광역시 남동구 에코중앙로156번길 13-5 , 2층 (논현동)|032-441-0979|보습|고등수학,고등영어,중등수학,중등영어,초등수학,초등영어|217000
5|153본수학학원|인천광역시 남동구 용천로 80 , 301호 (구월동)||보습|고1수학,고2이과기본,고2이과심화,다비수(초),다비수+오창영수학,오창영수학(초),중등기본,중등심화|255000
6|3-pro(프로)수학전문학원|인천광역시 부평구 원길로 17 , 4층, 5층 전체 (청천동) |032-525-2008|보습|고1수학,고2문과수학,중등수학,중등수학2,초등수학,초등수학2|253000
7|3030영어학원|인천광역시 남동구 도림로11번길 13 , 2층  (도림동)|032-422-0399|보습|고등수학,중등수학,중등영어,초등수학,초등영어|200000
8|3층의기적영수학원|인천광역시 부평구 후정동로 35 , 3층일부 (삼산동) |032-529-0070|보습|수학중등,수학초등,영어중등,영어초등|165000
9|7스템스(7stems)학원|인천광역시 부평구 부일로 60 ,  3층(전체) (부개동)|032-513-5300|보습|고등단과(영어),중등단과(수학),중등단과(영어),초등단과(수학),초등단과(영어1),초등단과(영어2)|220000
10|A+sky학원|인천광역시 계양구 용종로 23 , 2층 일부 (계산동,은행마을 태산아파트 상가동)|032-555-5080|보습|고등과학,고등영수,중등과학,중등영수단과,초등영수단과|197000
11|A1학원|인천광역시 부평구 부영로189번길 51 ,  오남프라자 310호 (산곡동)|032-507-5325|보습|고등단과,중등단과,초등단과|223000
12|ACE(에이스)학원|인천광역시 부평구 경원대로1240번길 6 , 3층 전체 (부평동, 세섬빌딩)||보습|고등단과,중등단과|300000
13|AE영어학원|인천광역시 부평구 영성서로 15 , 3층 전체 (삼산동)||보습|중등,초등 1~2,초등 3~5,초등 6|179000
14|AK영어수학전문학원|인천광역시 부평구 원적로 298 , 3층(전체) (산곡동,삼보우편취급소)|032-215-2485|보습|고등단과,중등단과,초등단과|250000
15|AMP학원|인천광역시 부평구 안남로 261 , 405호 (산곡동,전방프라자)|032-504-0003|보습|고등단과1,고등단과2,고등단과3,중등단과1,중등단과2,중등단과3|275000
16|Apex학원|인천광역시 부평구 원적로 412 , 산곡동상가 2층전체 (산곡동)|032-519-3140|보습|고등단과(수학1),고등단과(수학2),고등단과(수학3),고등단과(수학4),중등 수학/과학 특강 5,중등(수학/과학 과고A),중등(수학/과학 과고B),중등(수학/과학 과고C),중등(수학/과학 과고D),중등과고 수학/과학E,중등과고 수학/과학F,중등단과(수학/과학 특강1),중등단과(수학/과학 특강2),중등단과(수학/과학 특강3),중등단과(수학/과학 특강4),중등단과(수학/과학1),중등단과(수학/과학2),중등단과(수학/과학3),초등단과(수학/과학1),초등단과(수학/과학2),초등단과(수학/과학3),초등단과(수학/과학4),초등단과(수학/과학5)|358000
17|APEX학원|인천광역시 서구 완정로 43 , 602호 (마전동,마전프라자)|032-566-0509|보습|고등단과,중등단과|173000
18|Being학원|인천광역시 연수구 신송로 121 , 706호,707호 (송도동,센타프라자)|032-831-5782|보습|초등A,초등B|330000
19|BK학원|인천광역시 남동구 소래로669번길 51 , 2층일부 (만수동)|032-472-4411|보습|고등단과A,고등단과B,중등단과,초등단과|213000
20|Carlsbad영수학원|인천광역시 계양구 임학동로 12 , 2층 (임학동)|032-204-4645|보습|고등연합,중등연합,초등연합|257000
21|CLD학원|인천광역시 서구 장고개로337번길 18-3 , 201호 (가좌동)|032-572-8807|보습|과학고등,과학중등,과학초등,논술고등,논술중등,논술초등,수학고등,수학중등,수학초등,영어고등,영어중등,영어초등|157000
22|CMS수학융합사고력학원|인천광역시 남동구 구월남로 190 , 퍼스트 프라자 504,505호  (구월동)|032-463-1288|보습|초등단과|160000
23|CSA목동학원|인천광역시 계양구 계산새로 93 , 503호,504호 (용종동,밀레니엄프라자)|032-548-3002|보습|고등단과,중등단과|180000
24|E&M아카데미학원|인천광역시 서구 장고개로337번길 18-3 ,  영프라자 503호 (가좌동)|032-584-0582|보습|고등,중등(고),중등(저),초등(고),초등(저)|278000
25|EBS스스로배움터잉글리시아이쎈수학학원|인천광역시 부평구 부영로189번길 51 ,  오남프라자 301호(일부) (산곡동)|032-528-0505|보습|고등영어,영어심화(고등),영어심화(중등),중등수학,중등영어,초등단과 1,2,초등단과 3,4,초등단과 5,6,초등수학|193000
26|EBS탭강잉글리시아이학원|인천광역시 부평구 청중로84번길 12 , (2층) (청천동) |032-262-0509|보습|중등단과(수학),중등단과(영어),초등단과(국,수,사,과),초등단과(영어,베이직),초등단과(영어,어드밴스드),초등단과(영어,파닉스),초등단과(영어,프라임)|171000
27|ECL만수학원|인천광역시 남동구 만수로 51 , 2층일부, 3층전체 (만수동)|032-462-0594|보습|고등(수학),고등(영어),중등(수학),중등(영어),중등수학2,중등영어2,초등(수학),초등1(영어),초등2(영어),초등수학2,초등영어3|184000
28|ECN영어학원|인천광역시 계양구 효서로 344 , 401호 (작전동,경민메디칼프라자)|032-552-0502|보습|중등단과,초등단과|220000
29|EIA학원|인천광역시 서구 보석로18번길 12,1층 (경서동)||보습|중등단과,초등단과|200000
30|ELL(이엘엘)영어독서전문학원|인천광역시 부평구 안남로 261 , 403호 전체 (산곡동, 전방프라자)|032-502-5021|보습|초등단과(a1,중등포함),초등단과(a2,중등포함),초등단과(a3,중등포함),초등단과(b1,중등포함),초등단과(b2,중등포함),초등단과(b3,중등포함),특강(초,중)|136000
31|EM(이엠)미래교육학원|인천광역시 부평구 영성중로36번길 3 , 2층(전체) (삼산동)|032-506-9066|보습|고등단과,중등단과,중등영수,초등단과,초등영수|218000
32|EMA학원|인천광역시 서구 완정로64번길 4 , 207호 (마전동,영남탑스빌 상가)|032-563-4922|보습|고등부,중등부,초등부|312000
33|EMS영수과전문학원|인천광역시 계양구 주부토로472번길 11 (계산동)||보습|고등과학,고등과학특강1,고등과학특강2,고등수학(문),고등수학(이),고등수학특강,고등영어,고등영어특강,중등수학,중등영어,중등영어문법,초등수학,초등영어,초등영어문법|156000
34|EMS학원|인천광역시 부평구 부일로 11 , 207호,208호 (부평동,아이앤비아파트)|032-502-0455|보습|고등(과학탐구),고등(사회탐구),고등단과(국어),고등단과(수학),고등단과(영어),고등종합,중등단과(수학),중등단과(영어),중등종합,초등단과(수학),초등단과(영어),초등종합|175000
35|EM깊은생각학원|인천광역시 강화군 강화읍 강화대로 464 , 2층 전체 (강화읍, 아이비클럽)|070-8112-0351|보습|과학(고등),과학(중등),국어(고등),국어(중등),수학(고등),수학(중등),수학(초등),영어(고등),영어(중등),영어(초등)|258000
36|EM학원|인천광역시 계양구 봉오대로 706 , 3층 (작전동)|032-545-8787|보습|고등(영어,수학),고등단과(수학),고등단과(영어),영어,수학,중등(영어,수학),중등단과(수학),중등단과(영어)|178000
37|ENF삼봉영어학원|인천광역시 서구 중봉대로 594 , 704호 (연희동,청라비젼프라자)|032-563-0579|보습|고등 주2회,고등 주3회,중등 주2회,중등 주3회,초등 주2회,초등 주3회|320000
38|EnM아카데미학원|인천광역시 연수구 한진로 58 , 인송빌딩 302호 (옥련동)|032-831-4251|보습|고등 영수,고등영어,중등 영수,중등영어,초등 영, 수|266000
39|ETOOS#이투스수학학원|인천광역시 부평구 원적로 434 , 405호 전체 (산곡동, 혜성프라자)|032-517-1008|보습|고등수학A,고등수학B,고등수학C,고등영어A,고등영어B,중등수학,중등영어,초등수학,초등영어|288000
40|EZEN STUDY학원|인천광역시 연수구 앵고개로264번길 42 , 6층 (동춘동, 정우빌딩)|010-3227-7631|보습|고등단과,중등단과|250000
41|GGE영어수학만수제일학원|인천광역시 남동구 소래로669번길 38 , 3층 4호~6호 (만수동)|032-465-0979|보습|고등단과,고등연합,중등단과,중등연합,초등단과,초등연합|153000
42|GJS학원|인천광역시 계양구 길마로 59 , 뉴서울상가 3층 1호 (효성동)|032-555-7741|보습|고등단과,고등연합,중등단과,중등연합,초등단과,초등연합|262000
43|GnB계산학원|인천광역시 계양구 주부토로 422 , 401호 (작전동)|032-552-0582|보습|고등단과,중등단과,초등단과|250000
44|GnB영어전문학원|인천광역시 서구 청마로167번길 9 , 삼성프라자 401호,402호 (당하동)|032-569-0733|보습|고등영,수,중등수학,중등영어단과,초등수학,초등영어단과|238000
45|Goe's English(조스잉글리쉬)학원|인천광역시 부평구 부흥로 420 ,  401호(전체) (부개동)|032-507-6076|보습|고등영어단과,중등영어단과,초등영어단과|150000
46|G카이로스학원|인천광역시 남동구 석산로 183 , 2층, 3층 (간석동)|032-468-1177|보습|고등단과,중등단과,초등단과|433000
47|HelloFox해법영어학원|인천광역시 부평구 부흥로 246 , 3층(전체) (부평동)|032-264-4567|보습|중등 2,증등 1,초등 1,초등 2,초등 3|137000
48|IBT주니어학원|인천광역시 서구 승학로 536 , 3층일부 (검암동,홍일프라자)|032-564-7740|보습|고등영어,수학,초,중단과(수학),초,중단과(영어)|230000
49|J&J프라임학원|인천광역시 부평구 영성로 36 , 2층(전체) (삼산동)||보습|고등단과(수학심화),고등단과(수학일반),고등단과(영어심화),고등단과(영어일반),중등단과(수학),중등단과(영어),초등단과(1,2수학,기타과목),초등단과(1,2영어),초등단과(3,4수학,기타과목),초등단과(3,4영어),초등단과(5,6수학,기타과목),초등단과(5,6영어)|204000
50|J&Y영어수학학원|인천광역시 부평구 마장로264번길 51 , 3층 전체 (산곡동)|032-514-0761|보습|중등수학,중등영어,초등A반,초등B반,초등수학(3일),초등수학(5일)|170000
51|JKD(제이케이디)영어전문학원|인천광역시 부평구 부영로189번길 51 , 307호 전체 (산곡동, 오남프라자빌딩)|032-527-0509|보습|고등단과(영어),중등단과(영어),초등단과(영어)|250000
52|JM(제이엠)클레스학원|인천광역시 부평구 영성서로 38 , 301~302호 (삼산동, 그린프라자)|032-505-8180|보습|고등수학(문과),고등수학(문과,3년),고등수학(이과),고등수학(이과,3년),고등영어,중등수학,중등연합,중등연합(영,수),중등영어,초등수학,초등연합,초등영어|214000
53|JMC수학전문학원|인천광역시 계양구 계산새로 29 ,  3층 (계산동)|032-555-3305|보습|고12문,고2이,고3문,고3이,중등|308000
54|K.D영재학원|인천광역시 서구 완정로 144 , 703호일부, 704호 (마전동,프라임타워)|032-567-0109|보습|보습 10평 이하반 단과,보습 10평 초과반 단과,보습 연합|99000
55|K2(케이투)수학영어학원|인천광역시 부평구 체육관로 34 , 901호 (삼산동,삼산동 이리옴프라자Ⅱ)|032-502-6600|보습|고등문과수학,고등수학+영어,고등영어,고등이과수학,중등수학/영어(1학년),중등수학/영어(2학년),중등수학/영어(3학년),중등영어+수학(1학년),중등영어+수학(2학년),중등영어+수학(3학년)|385000
56|KBM학원|인천광역시 연수구 컨벤시아대로42번길 29 , 303호 (송도동)||보습|고등수학1,고등수학2,고등수학3,고등수학4,고등수학5,중등수학1,중등수학2,중등수학3,초등수학1,초등수학2,초등수학3,초등수학4|358000
57|K수학학원|인천광역시 연수구 앵고개로254번길 13 , 4층 (동춘동,우정빌딩)||보습|고등부,고등주말반,중등부,초등부|240000
58|L.S.English(잉글리시)학원|인천광역시 부평구 원적로 412 , 3층(전체) (산곡동)|032-201-2790|보습|중등단과(영어),초등단과(영어)|255000
59|M&E(엠엔이)스터디학원|인천광역시 부평구 길주남로 154 ,  4층 (부개동)|032-507-2208|보습|고등단과,중등단과,초등단과|208000
60|MD(엠디)수학영어학원|인천광역시 부평구 원적로 290 , 산곡메디칼센터 (401호) (산곡동) |032-523-5200|보습|고등A,고등B,고등C,고등D,고등E,중등A,중등B,중등C|243000
61|MH math hour(엠에이치매쓰아워)수학전문학원|인천광역시 부평구 마장로272번길 48 , 2-3층 (산곡동)|032-519-9910|보습|고등단과,중등단과,초등단과|250000
62|MSunited학원|인천광역시 서구 원당대로 673 , 3층 (마전동,태한빌딩)|032-562-3022|보습|고등단과,중등단과|215000
63|MS학원|인천광역시 연수구 함박뫼로 250 , 상가 203호 (연수동)||보습|고등수학A,고등수학B,고등수학C,고등영어A,고등영어B,고등영어C,중등수학A,중등수학B,중등수학C,중등영어A,중등영어B,중등영어C,초등수학A,초등수학B,초등수학C,초등영어A,초등영어B,초등영어C|140000
64|New광성학원|인천광역시 서구 서달로163번길 1 , 2층 일부 (석남동,인천상가)|032-581-0667|보습|초등단과,초등연합|152000
65|PMR학원|인천광역시 계양구 주부토로532번길 18 , 3층 (계산동)|032-548-4578|보습|고등단과,중등단과,초등단과|154000
66|POINT영어수학전문학원|인천광역시 남동구 구월말로 31 , 3층전체 (구월동)|032-471-5558|보습|중등단과A,중등단과B,중등단과C,중등단과D(영어),초등단과A,초등단과B,초등단과C,초등단과D,초등단과E,초등단과F,초등단과G(영어),초등단과H(영어)|130000
