academy_id, academy_name, road_address, building, address, sido, sigungu, dong, zip_code, latitude, longitude
1,(상계분원)오메가수학학원, 서울 노원구 한글비석로 460, 백산빌딩, 서울 노원구 상계동 455, 서울, 노원구, 상계5동, 139820, 127.06697859544342, 37.66444002512082
2,(주)그루샘수학보습학원, 서울 강남구 도곡로 451, 한나빌딩, 서울 강남구 대치동 941-22, 서울, 강남구, 대치4동, 135999, 127.05975114071488, 37.498884549015784
3,(주)멘토르수학전문학원, 서울 강남구 남부순환로 2909, 여천빌딩, 서울 강남구 대치동 651, 서울, 강남구, 대치1동, 135838, 127.0574118750373, 37.49218221925881
4,(주)산에듀김영준국어논술전문별관학원, 서울 강남구 선릉로62길 27, , 서울 강남구 대치동 935-33, 서울, 강남구, 대치4동, 135998, 127.05475642710299, 37.49785621854038
5,(주)산에듀김영준국어논술전문학원, 서울 강남구 도곡로 409, 타워엠프리스, 서울 강남구 대치동 938-22, 서울, 강남구, 대치4동, 135998, 127.05516770344329, 37.497369483749004
6,(주)산에듀풍요로운아이학원, 서울 강남구 선릉로62길 33, 장성빌딩, 서울 강남구 대치동 935-26, 서울, 강남구, 대치4동, 135998, 127.05506865389927, 37.49800383844723
7,(주)지유에듀테인먼트원격학원, 서울 금천구 가산디지털1로 2, 우림라이온스밸리2차, 서울 금천구 가산동 680, 서울, 금천구, 가산동, 153776, 126.88800033768293, 37.46683554505061
8,(주)진인사보습학원, 서울 양천구 신목로5길 13, , 서울 양천구 신정동 281-1, 서울, 양천구, 신정2동, 158852, 126.87253157157878, 37.51765827506557
9,(주)케이엔에스에듀고등관대치본점학원, 서울 강남구 삼성로 238, 태원 리치타운상가, 서울 강남구 대치동 989, 서울, 강남구, 대치2동, 135501, 127.0613974936218, 37.49863142310217
10,1%유클리드학원, 서울 성동구 뚝섬로 317-1, 성수가야피아노학원, 서울 성동구 성수동1가 656-1828, 서울, 성동구, 성수1가1동, 133821, 127.04647829957817, 37.54129532072585
11,1%하이스트영어수학학원, 서울 은평구 증산서길 64-14, 삼우빌딩, 서울 은평구 증산동 176-15, 서울, 은평구, 증산동, 122937, 126.90599214745465, 37.58189477767986
12,1.4수학전문학원, 서울 서초구 동광로12가길 3, 인재빌딩, 서울 서초구 방배동 1423, 서울, 서초구, 방배4동, 137852, 126.98469928347204, 37.48739821348906
13,1095보습학원, 서울 광진구 광나루로 588, 임애빌딩, 서울 광진구 구의동 202-5, 서울, 광진구, 구의3동, 143821, 127.0938454513368, 37.54269075657135
14,11월의기적학원, 서울 노원구 중계로 172-6, 성장빌딩, 서울 노원구 중계동 84-6, 서울, 노원구, 중계본동, 139855, 127.08137504734805, 37.650069321463874
15,11월의약속보습학원, 서울 송파구 송이로31길 20, , 서울 송파구 문정동 128-8, 서울, 송파구, 장지동, 138200, 127.13301507096944, 37.489284918683325
16,11월의혁명보습학원, 서울 양천구 오목로50길 33, , 서울 양천구 신정동 1007-3, 서울, 양천구, 신정4동, 158860, 126.86463525043233, 37.523116771651075
17,1230깊은생각학원, 서울 동작구 상도로 26-1, , 서울 동작구 대방동 402-30, 서울, 동작구, 대방동, 156811, 126.92350652492738, 37.49966777980246
18,1318영어학원, 서울 양천구 목동서로 67, 우성에펠타운빌딩, 서울 양천구 목동 907-4, 서울, 양천구, 목5동, 158708, 126.87855064793938, 37.536398239962146
19,153수학학원, 서울 광진구 광나루로54길 32, 하나빌딩, 서울 광진구 구의동 199-20, 서울, 광진구, 구의3동, 143821, 127.0951132129887, 37.53947137196485
