academy_id|academy_name|address|owner_name|phone_no|course_type|courses|tuition
1|(상계분원)오메가수학학원|서울특별시 노원구 한글비석로 460 , 3층일부 (상계동,백산빌딩)|박종길|02-951-5707|보습|수학(고1),수학(문과),수학(이과),수학(중1),수학(중2,3),수학(초등)|253000
2|(주)그루샘수학보습학원|서울특별시 강남구 도곡로 451 , 5층 (대치동,한나빌딩)|(주)그루샘수학보습학원|02-508-8441|보습·논술|수리논술(고등),수리논술(중등),수리논술(초등),중등(고등수학),중등(중등수학),초등(중등수학),초등(초등수학)|503000
3|(주)멘토르수학전문학원|서울특별시 강남구 남부순환로 2909 , 302호 (대치동)|(주)멘토르수학전문학원|02-564-5002|보습|고등,중등|560000
4|(주)산에듀김영준국어논술전문별관학원|서울특별시 강남구 선릉로62길 27 , 1~4층 (대치동)|(주)산에듀|02-501-0575|보습|고1국어,고1논술,고2국어,고2논술,고3국어,고3논술,중등부국어논술|494000
5|(주)산에듀김영준국어논술전문학원|서울특별시 강남구 도곡로 409 , 2층 (대치동,타워엠프리스)|(주)산에듀|02-501-0575|보습·논술|고1국어,고1논술,고2국어,고2논술,고3국어,고3논술|509000
6|(주)산에듀풍요로운아이학원|서울특별시 강남구 선릉로62길 33 , 1층,2층 (대치동)|(주)산에듀|02-501-0575|보습·논술|고1 국어,고1 논술,고2 국어,고2 논술,고3 국어,고3 논술,중등부 국어논술|494000
7|(주)지유에듀테인먼트원격학원|서울특별시 금천구 가산디지털1로 2 , 709호 (가산동, 우림라이온스밸리 2차)|(주)지유에듀테인먼트|02-599-1408|보습|2016수능수학의본질미통기,[2014Killer]국어영역+EBS,[2014수나보]국공기기본수학클리닉,[2014수나보]국민공통기본교육과정,[2014수나보]국어영역독서개념편,[2014수나보]국어영역문학개념편,[2014수나보]미적분Basic,[2014수나보]수학의제왕수1Basic,[2014수나보]수학의제왕이콩기(기초개념),[2014수나보]영문법소시보기,[2014수나보]영어구문syntax,[2014수나보]특강!경우의수,[2014스마프]영어기본독해,[2014스마프]영어심화독해,[2014스마프]영어영역어법실전,[2014한끝]한번에끝내는국어문법,[2014한끝]한번에끝내는극한.미적분(개념+기출),[2014한끝]한번에끝내는수열(개념+기출),[2014한끝]한번에끝내는지수로그함수(개념+기출),[2014한끝]한번에끝내는행렬(개념+기출),[2014한끝]한번에끝내는화법과작문,[2014한끝]한번에끝내는확률과통계(개념+기출),[2015+2016통합][스마프]영어기본독해,[2015Killer]국|43000
8|(주)진인사보습학원|서울특별시 양천구 신목로5길 13 3층일부 (신정동)|(주)진인사보습학원|02-2650-8720|보습|고등과학,고등국어,고등수학,중등과학,중등국어,중등수학|225000
9|(주)케이엔에스에듀고등관대치본점학원|서울특별시 강남구 삼성로 238 , 401호~406호, 609호~611호 (대치동,태원 리치타운 상가)|주식회사케이엔에스에듀|02-508-0921|보습|영어|338000
10|1%유클리드학원|서울특별시 성동구 뚝섬로 317-1 , 2층 (성수동1가)|박은실|02-461-1714|보습|고등/단과/고1수학,고등/단과/고1영어,고등/단과/고23수학,고등/단과/고23영어,중등/단과/수학,중등/단과/영어,초등/단과/영어,초등/단과/초3-초5,초등/단과/초6수학|267000
